"","16-19","20-24","25-34","35-44","45-54","55-64","65+","value"
"167",0,0,1,0,0,0,0,9
"168",0,0,1,0,0,0,0,10
"169",0,0,1,0,0,0,0,4
"170",0,0,1,0,0,0,0,6
"171",0,0,1,0,0,0,0,59
"172",0,0,1,0,0,0,0,7
"173",0,0,1,0,0,0,0,14
"174",0,0,1,0,0,0,0,4
"175",0,0,1,0,0,0,0,5
"176",0,0,1,0,0,0,0,2
"177",0,0,1,0,0,0,0,7
"178",0,0,1,0,0,0,0,2
"179",0,0,1,0,0,0,0,10
"180",0,0,1,0,0,0,0,14
"181",0,0,1,0,0,0,0,7
"182",0,0,1,0,0,0,0,4
"183",0,0,1,0,0,0,0,7
"184",0,0,1,0,0,0,0,4
"185",0,0,1,0,0,0,0,6
"186",0,0,1,0,0,0,0,30
"187",0,0,1,0,0,0,0,2
"188",0,0,1,0,0,0,0,5
"189",0,0,1,0,0,0,0,7
"190",0,0,1,0,0,0,0,7
"191",0,0,1,0,0,0,0,2
"192",0,0,1,0,0,0,0,10
"193",0,0,1,0,0,0,0,120
"194",0,0,1,0,0,0,0,12
"195",0,0,1,0,0,0,0,4
"196",0,0,1,0,0,0,0,3
"197",0,0,1,0,0,0,0,5
"198",0,0,1,0,0,0,0,5
"199",0,0,1,0,0,0,0,3
"200",0,0,1,0,0,0,0,5
"201",0,0,1,0,0,0,0,3
"202",0,0,0,1,0,0,0,7
"203",0,0,0,1,0,0,0,3
"204",0,0,0,1,0,0,0,1
"205",0,0,0,1,0,0,0,12
"206",0,0,0,1,0,0,0,14
"207",0,0,0,1,0,0,0,9
"208",0,0,0,1,0,0,0,20
"209",0,0,0,1,0,0,0,3
"210",0,0,0,1,0,0,0,7
"211",0,0,0,1,0,0,0,4
"212",0,0,0,1,0,0,0,7
"213",0,0,0,1,0,0,0,13
"214",0,0,0,1,0,0,0,2
"215",0,0,0,1,0,0,0,4
"216",0,0,0,1,0,0,0,7
"217",0,0,0,1,0,0,0,6
"218",0,0,0,1,0,0,0,10
"219",0,0,0,1,0,0,0,27
"220",0,0,0,1,0,0,0,1
"221",0,0,0,1,0,0,0,2
"222",0,0,0,1,0,0,0,33
"223",0,0,0,1,0,0,0,3
"224",0,0,0,1,0,0,0,5
"225",0,0,0,1,0,0,0,3
"226",0,0,0,1,0,0,0,3
"227",0,0,0,1,0,0,0,8
"228",0,0,0,1,0,0,0,3
"229",0,0,0,1,0,0,0,8
"230",0,0,0,1,0,0,0,1
"231",0,0,0,1,0,0,0,1
"232",0,0,0,1,0,0,0,20
"233",0,0,0,1,0,0,0,20
"234",0,0,0,1,0,0,0,35
"235",0,0,0,1,0,0,0,4
"236",0,0,0,1,0,0,0,4
"237",0,0,0,1,0,0,0,2
"238",0,0,0,1,0,0,0,4
"239",0,0,0,1,0,0,0,2
"240",0,0,0,1,0,0,0,10
"241",0,0,0,1,0,0,0,3
"242",0,0,0,1,0,0,0,12
"243",0,0,0,1,0,0,0,2
"244",0,0,0,1,0,0,0,60
"245",0,0,0,1,0,0,0,40
"246",0,0,0,1,0,0,0,3
"247",0,0,0,1,0,0,0,12
"248",0,0,0,1,0,0,0,5
"249",0,0,0,1,0,0,0,3
"250",0,0,0,1,0,0,0,2
"251",0,0,0,1,0,0,0,1
"252",0,0,0,1,0,0,0,4
"253",0,0,0,1,0,0,0,4
"254",0,0,0,1,0,0,0,7
"255",0,0,0,1,0,0,0,5
"256",0,0,0,1,0,0,0,3
"257",0,0,0,1,0,0,0,6
"258",0,0,0,1,0,0,0,23
"259",0,0,0,1,0,0,0,13
"260",0,0,0,1,0,0,0,10
"261",0,0,0,1,0,0,0,5
"262",0,0,0,1,0,0,0,15
"263",0,0,0,1,0,0,0,6
"264",0,0,0,1,0,0,0,9
"265",0,0,0,1,0,0,0,2
"266",0,0,0,1,0,0,0,7
"267",0,0,0,1,0,0,0,7
"268",0,0,0,1,0,0,0,5
"269",0,0,0,1,0,0,0,3
"270",0,0,0,1,0,0,0,9
"271",0,0,0,1,0,0,0,7
"272",0,0,0,1,0,0,0,3
"273",0,0,0,1,0,0,0,2
"274",0,0,0,1,0,0,0,25
"275",0,0,0,1,0,0,0,6
"276",0,0,0,1,0,0,0,61
"277",0,0,0,1,0,0,0,3
"278",0,0,0,1,0,0,0,5
"279",0,0,0,1,0,0,0,10
"280",0,0,0,1,0,0,0,3
"281",0,0,0,1,0,0,0,3
"282",0,0,0,1,0,0,0,6
"283",0,0,0,1,0,0,0,8
"284",0,0,0,1,0,0,0,3
"285",0,0,0,1,0,0,0,7
"286",0,0,0,0,1,0,0,26
"287",0,0,0,0,1,0,0,3
"288",0,0,0,0,1,0,0,7
"289",0,0,0,0,1,0,0,7
"290",0,0,0,0,1,0,0,12
"291",0,0,0,0,1,0,0,1
"292",0,0,0,0,1,0,0,14
"293",0,0,0,0,1,0,0,9
"294",0,0,0,0,1,0,0,3
"295",0,0,0,0,1,0,0,19
"296",0,0,0,0,1,0,0,8
"297",0,0,0,0,1,0,0,4
"298",0,0,0,0,1,0,0,3
"299",0,0,0,0,1,0,0,3
"300",0,0,0,0,1,0,0,10
"301",0,0,0,0,1,0,0,14
"302",0,0,0,0,1,0,0,14
"303",0,0,0,0,1,0,0,5
"304",0,0,0,0,1,0,0,48
"305",0,0,0,0,1,0,0,9
"306",0,0,0,0,1,0,0,9
"307",0,0,0,0,1,0,0,6
"308",0,0,0,0,1,0,0,3
"309",0,0,0,0,1,0,0,1
"310",0,0,0,0,1,0,0,3
"311",0,0,0,0,1,0,0,8
"312",0,0,0,0,1,0,0,10
"313",0,0,0,0,1,0,0,3
"314",0,0,0,0,1,0,0,15
"315",0,0,0,0,1,0,0,12
"316",0,0,0,0,1,0,0,30
"317",0,0,0,0,1,0,0,3
"318",0,0,0,0,1,0,0,6
"319",0,0,0,0,1,0,0,10
"320",0,0,0,0,1,0,0,14
"321",0,0,0,0,1,0,0,10
"322",0,0,0,0,1,0,0,6
"323",0,0,0,0,1,0,0,8
"324",0,0,0,0,1,0,0,3
"325",0,0,0,0,1,0,0,6
"326",0,0,0,0,1,0,0,14
"327",0,0,0,0,1,0,0,5
"328",0,0,0,0,1,0,0,10
"329",0,0,0,0,1,0,0,6
"330",0,0,0,0,1,0,0,2
"331",0,0,0,0,1,0,0,57
"332",0,0,0,0,1,0,0,7
"333",0,0,0,0,1,0,0,5
"334",0,0,0,0,1,0,0,1
"335",0,0,0,0,1,0,0,3
"336",0,0,0,0,1,0,0,7
"337",0,0,0,0,1,0,0,3
"338",0,0,0,0,1,0,0,21
"339",0,0,0,0,1,0,0,2
"340",0,0,0,0,1,0,0,19
"341",0,0,0,0,1,0,0,5
"342",0,0,0,0,1,0,0,83
"343",0,0,0,0,1,0,0,4
"344",0,0,0,0,1,0,0,5
"345",0,0,0,0,1,0,0,24
"346",0,0,0,0,1,0,0,50
"347",0,0,0,0,1,0,0,30
"348",0,0,0,0,1,0,0,7
"349",0,0,0,0,1,0,0,7
"350",0,0,0,0,1,0,0,5
"351",0,0,0,0,1,0,0,5
"352",0,0,0,0,1,0,0,14
"353",0,0,0,0,1,0,0,3
"354",0,0,0,0,1,0,0,15
"355",0,0,0,0,1,0,0,10
"356",0,0,0,0,1,0,0,1
"357",0,0,0,0,1,0,0,4
"358",0,0,0,0,1,0,0,24
"359",0,0,0,0,1,0,0,67
"360",0,0,0,0,1,0,0,4
"361",0,0,0,0,1,0,0,20
"362",0,0,0,0,1,0,0,5
"363",0,0,0,0,1,0,0,4
"364",0,0,0,0,1,0,0,8
"365",0,0,0,0,1,0,0,15
"366",0,0,0,0,1,0,0,21
"367",0,0,0,0,1,0,0,3
"368",0,0,0,0,1,0,0,5
"369",0,0,0,0,1,0,0,15
"370",0,0,0,0,0,1,0,18
"371",0,0,0,0,0,1,0,13
"372",0,0,0,0,0,1,0,7
"373",0,0,0,0,0,1,0,10
"374",0,0,0,0,0,1,0,41
"375",0,0,0,0,0,1,0,15
"376",0,0,0,0,0,1,0,139
"377",0,0,0,0,0,1,0,4
"378",0,0,0,0,0,1,0,116
"379",0,0,0,0,0,1,0,7
"380",0,0,0,0,0,1,0,4
"381",0,0,0,0,0,1,0,5
"382",0,0,0,0,0,1,0,8
"383",0,0,0,0,0,1,0,8
"384",0,0,0,0,0,1,0,16
"385",0,0,0,0,0,1,0,9
"386",0,0,0,0,0,1,0,6
"387",0,0,0,0,0,1,0,14
"388",0,0,0,0,0,1,0,13
"389",0,0,0,0,0,1,0,7
"390",0,0,0,0,0,1,0,8
"391",0,0,0,0,0,1,0,7
"392",0,0,0,0,0,1,0,15
"393",0,0,0,0,0,1,0,2
"394",0,0,0,0,0,1,0,9
"395",0,0,0,0,0,1,0,9
"396",0,0,0,0,0,1,0,3
"397",0,0,0,0,0,1,0,14
"398",0,0,0,0,0,1,0,1
"399",0,0,0,0,0,1,0,37
"400",0,0,0,0,0,1,0,5
"401",0,0,0,0,0,1,0,3
"402",0,0,0,0,0,1,0,33
"403",0,0,0,0,0,1,0,32
"404",0,0,0,0,0,1,0,34
"405",0,0,0,0,0,1,0,21
"406",0,0,0,0,0,1,0,30
"407",0,0,0,0,0,1,0,6
"408",0,0,0,0,0,1,0,5
"409",0,0,0,0,0,1,0,10
"410",0,0,0,0,0,1,0,83
"411",0,0,0,0,0,1,0,2
"412",0,0,0,0,0,1,0,3
"413",0,0,0,0,0,1,0,174
"414",0,0,0,0,0,1,0,2
"415",0,0,0,0,0,1,0,100
"416",0,0,0,0,0,1,0,2
"417",0,0,0,0,0,1,0,3
"418",0,0,0,0,0,1,0,35
"419",0,0,0,0,0,1,0,7
"420",0,0,0,0,0,1,0,103
"421",0,0,0,0,0,1,0,32
"422",0,0,0,0,0,1,0,19
"423",0,0,0,0,0,1,0,16
"424",0,0,0,0,0,1,0,30
"425",0,0,0,0,0,1,0,19
"426",0,0,0,0,0,1,0,3
"427",0,0,0,0,0,1,0,36
"428",0,0,0,0,0,1,0,12
"429",0,0,0,0,0,1,0,10
"430",0,0,0,0,0,1,0,10
"431",0,0,0,0,0,1,0,13
"432",0,0,0,0,0,1,0,44
"433",0,0,0,0,0,1,0,2
"434",0,0,0,0,0,1,0,4
"435",0,0,0,0,0,1,0,28
"436",0,0,0,0,0,1,0,70
"437",0,0,0,0,0,1,0,74
"438",0,0,0,0,0,1,0,39
"439",0,0,0,0,0,1,0,5
"440",0,0,0,0,0,1,0,46
"441",0,0,0,0,0,1,0,6
"442",0,0,0,0,0,1,0,1
"443",0,0,0,0,0,1,0,30
"444",0,0,0,0,0,1,0,100
"445",0,0,0,0,0,0,1,15
"446",0,0,0,0,0,0,1,180
"447",0,0,0,0,0,0,1,20
"448",0,0,0,0,0,0,1,16
"449",0,0,0,0,0,0,1,30
"450",0,0,0,0,0,0,1,47
"451",0,0,0,0,0,0,1,10
"452",0,0,0,0,0,0,1,17
"453",0,0,0,0,0,0,1,66
"454",0,0,0,0,0,0,1,53
"455",0,0,0,0,0,0,1,60
