"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"121",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"122",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"123",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"124",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"125",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"126",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"128",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
