"","before shift began","<1","2-Jan","4-Feb","6-Apr","8-Jun","10-Aug","12-Oct","16-Dec",">16","value"
"1",1,0,0,0,0,0,0,0,0,0,75
"2",1,0,0,0,0,0,0,0,0,0,9
"3",1,0,0,0,0,0,0,0,0,0,48
"4",1,0,0,0,0,0,0,0,0,0,34
"5",1,0,0,0,0,0,0,0,0,0,43
"6",1,0,0,0,0,0,0,0,0,0,36
"7",1,0,0,0,0,0,0,0,0,0,50
"8",1,0,0,0,0,0,0,0,0,0,75
"9",1,0,0,0,0,0,0,0,0,0,9
"10",1,0,0,0,0,0,0,0,0,0,42
"11",1,0,0,0,0,0,0,0,0,0,34
"12",1,0,0,0,0,0,0,0,0,0,36
"13",1,0,0,0,0,0,0,0,0,0,50
"14",1,0,0,0,0,0,0,0,0,0,90
"15",1,0,0,0,0,0,0,0,0,0,75
"16",1,0,0,0,0,0,0,0,0,0,32
"17",1,0,0,0,0,0,0,0,0,0,7
"18",1,0,0,0,0,0,0,0,0,0,122
"19",1,0,0,0,0,0,0,0,0,0,9
"20",1,0,0,0,0,0,0,0,0,0,42
"21",1,0,0,0,0,0,0,0,0,0,34
"22",1,0,0,0,0,0,0,0,0,0,43
"23",1,0,0,0,0,0,0,0,0,0,36
"24",1,0,0,0,0,0,0,0,0,0,50
"25",1,0,0,0,0,0,0,0,0,0,9
"26",1,0,0,0,0,0,0,0,0,0,15
"27",1,0,0,0,0,0,0,0,0,0,12
"28",1,0,0,0,0,0,0,0,0,0,3
"29",1,0,0,0,0,0,0,0,0,0,35
"30",1,0,0,0,0,0,0,0,0,0,17
"31",1,0,0,0,0,0,0,0,0,0,4
"32",1,0,0,0,0,0,0,0,0,0,60
"33",0,1,0,0,0,0,0,0,0,0,14
"34",0,1,0,0,0,0,0,0,0,0,14
"35",0,1,0,0,0,0,0,0,0,0,3
"36",0,1,0,0,0,0,0,0,0,0,178
"37",0,1,0,0,0,0,0,0,0,0,3
"38",0,1,0,0,0,0,0,0,0,0,69
"39",0,1,0,0,0,0,0,0,0,0,5
"40",0,1,0,0,0,0,0,0,0,0,1
"41",0,1,0,0,0,0,0,0,0,0,32
"42",0,1,0,0,0,0,0,0,0,0,7
"43",0,1,0,0,0,0,0,0,0,0,2
"44",0,1,0,0,0,0,0,0,0,0,4
"45",0,1,0,0,0,0,0,0,0,0,7
"46",0,1,0,0,0,0,0,0,0,0,4
"47",0,1,0,0,0,0,0,0,0,0,13
"48",0,1,0,0,0,0,0,0,0,0,4
"49",0,1,0,0,0,0,0,0,0,0,10
"50",0,1,0,0,0,0,0,0,0,0,10
"51",0,1,0,0,0,0,0,0,0,0,46
"52",0,1,0,0,0,0,0,0,0,0,14
